Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla
9/1/2017,So,B,0.0009,0.0024,0.001,0.0028,0.429
9/1/2017,So,C,0.0011,0.007,0.005,0.0133,3.432
9/1/2017,Sh,A,0.0009,0.002,0.0009,0.0024,0.572
9/1/2017,Sh,B,0.0009,0.0042,0.0009,0.0056,2.002
9/1/2017,Sh,C,0.0011,0.002,0.001,0.0013,-0.858
9/1/2017,F,A,0.0009,0.0021,0.0011,0.0026,0.429
9/1/2017,F,B,0.001,0.0026,0.0013,0.0034,0.715
9/1/2017,F,C,0.0011,0.0028,0.001,0.0026,-0.143
9/1/2017,T,A,0.009,0.002,0.0009,0.0017,11.154
9/1/2017,T,B,0.0013,0.0134,0.0035,0.0167,1.573
9/1/2017,T,C,0.0011,0.004,0.0009,0.0035,-0.429
9/1/2017,Cr,A,0.0005,0.0009,0.0005,0.0009,0
9/1/2017,Cr,B,0.0005,0.0009,0.0004,0.0005,-0.429
9/1/2017,Cr,C,0.0006,0.001,0.0006,0.0009,-0.143
9/5/2017,H,A,0,0.001,0,0,-1.43
9/5/2017,H,B,0.001,0.001,0,0,0
9/5/2017,H,C,0.005,0.048,0.001,0.079,50.05
9/5/2017,So,A,0.004,0.004,0,0.001,1.43
9/5/2017,So,B,0.001,0.003,0,0.003,1.43
9/5/2017,So,C,0.002,0.016,0,0.025,15.73
9/5/2017,Sh,A,0,0,0,0,0
9/5/2017,Sh,B,0.003,0.007,0,0.008,5.72
9/5/2017,Sh,C,0.002,0.015,0,0.023,14.3
9/5/2017,F,A,0,0.002,0,0,-2.86
9/5/2017,F,B,0.003,0.024,0,0.037,22.88
9/5/2017,F,C,0.002,0.003,0,0,-1.43
9/5/2017,T,A,0.001,0.004,0,0.002,-1.43
9/5/2017,T,B,0.001,0.002,0,0.001,0
9/5/2017,T,C,0,0,0,0,0
9/5/2017,Cr,A,0.001,0,0,0,1.43
9/5/2017,Cr,B,0,0,0,0,0
9/5/2017,Cr,C,0,0,0.003,0,-4.29
9/8/2017,H,A,0.003,0.027,0,0.033,12.87
